idfamilletissus;dateentree;datefacturation;idcategorietissus;idclassematierepremiere;idutilisationwms;numerobc;numerobl;numerofacture;idfournisseur;idclient;modele;saison;designation;reftissu;composition;couleur;laize;qtecommande;idunitemesurematierepremiere;qterecu;tauxecart;nbrouleau;nblot;prixunitaire;idunitemonetaire;resterecevoir;fret;commentaire;etat
1;25/09/2024;23/09/2024;1;1;1;2399/LOI/2024;246151;F215100Z;1;100;GLOBAL;E24;LASMINA;G 10000;100% COTTON ORG GOTS;DOUBLE BLANCHIMENT;150/153;6000;1;6053.5;100.89;37;3;2.8;2;0;NULL;MODELE GLOBAL;0
1;25/09/2024;24/09/2024;1;2;1;2116/LOI/2024;246180;F215133Z;1;100;CORAIL;E24;RELADAX;O 1000;100% COTTON ORG;BLANC LUMINEUX;148/151;184;1;179.8;97.71;3;2;4.5;2;4.2;NULL;MODELE CLEA prix sur BC 4$;0
1;25/09/2024;17/09/2024;1;2;1;1829/LOI/2023;245787;F214825Z;1;100;CAPUCETTE;E24;APRECIA;G 30890R;100% COTTON ORG GOTS;VERT EMERAUDE;156/159;3364.2;1;2942.6;87.8;21;4;5.25;2;421.6;NULL;2EME ARRIVAGE;0
1;25/09/2024;17/09/2024;1;2;1;2245/LOI/2024;245787;F214825Z;1;100;BARBARA;E25;LASMINA;UU-G 30890R;100% COTTON ORG GOTS;VERT EMERAUDE;146/149;2096.2;1;1917.2;91.8;11;2;3.3;2;179;NULL;2EME ARRIVAGE;0
1;25/09/2024;24/09/2024;2;2;1;2919/LOI/2024;246186;F215142Z;1;100;CASSIS-BALLON;E25;NEWYORKWA;II-B D01761 V1;100% COTTON BCI;VERT/BA;152/155;12;1;12;100;1;1;5;2;0;NULL;ROULEAU;0
1;25/09/2024;24/09/2024;2;2;1;2919/LOI/2024;246186;F215142Z;1;100;BELETTE-FROUFROU;E25;NEWYORKWA;II-B D01761 V4;100% COTTON BCI;ROSE/BA;152/155;12;1;14.7;122.5;1;1;5;2;0;NULL;ROULEAU;0
1;25/09/2024;24/09/2024;2;2;2;A05423;246215;F215169Z;1;2;BONJOUR;E25;VELZICA;IU-F 13863X1 28253P;100% TENC;RED/ECRU;156/159;10;1;10;100;1;1;5;2;0;NULL;ROULEAU;0
1;25/09/2024;24/09/2024;2;2;2;A05423;246215;F215169Z;1;2;BONJOUR;E25;VELZICA;IU-F 13864X1 28253P;100% TENC;MULTICO/ECRU;156/159;7;1;7;100;1;1;5;2;0;NULL;ROULEAU;0
1;25/09/2024;24/09/2024;1;2;1;A05313;246187;F215143Z;1;100;MARIANNE-MAGNOLIA;H25;APRECIA;II-GD01782 V1;100% COTTON ORG GOTS;MULTICO/BNA;156/159;12;1;12;100;1;1;5;2;0;NULL;ROULEAU;0
1;25/09/2024;23/09/2024;1;2;1;2528/LOI/2024;246153;F215103Z;1;100;COMTESSE-ALEXANDRA;E25;LIRALD;TT-G BC82 R16;100% COTTON ORG GOTS;JAUNE/BA;165/168;1917;1;1957.5;102;17;3;3.8;2;0;NULL; COMTESSE:945 m  ALEXANDRA: 1076m;0
1;24/09/2024;24/09/2024;2;2;2;Non-referencé;8521;Non-referencé;51;7;DS 2527;E25;ROMA CARREAU;2383;100% COTTON;COL 202 BLEU;145;1.9;1;1.9;100;0;1;0;1;0;NULL;ENVOYE PAR KALIANA;0
